id,abbr,VertexX,VertexY
25,MD,630,200
25,MD,631,200
25,MD,636,199
25,MD,638,195
25,MD,636,191
26,MA,649,116
26,MA,663,111
26,MA,664,111
26,MA,666,109
26,MA,669,108
26,MA,671,111
26,MA,669,116
26,MA,669,117
26,MA,671,118
26,MA,671,118
26,MA,673,118
26,MA,674,119
26,MA,677,124
26,MA,680,124
26,MA,681,124
26,MA,682,123
26,MA,682,120
26,MA,681,119
26,MA,680,119
26,MA,678,119
26,MA,678,119
26,MA,681,118
26,MA,682,119
26,MA,683,120
26,MA,684,123
26,MA,684,124
26,MA,681,125
26,MA,678,127
26,MA,675,130
26,MA,674,132
26,MA,674,130
26,MA,675,130
26,MA,677,128
26,MA,675,127
26,MA,673,128
26,MA,673,128
26,MA,673,130
26,MA,671,130
26,MA,669,128
26,MA,667,124
26,MA,666,123
26,MA,660,124
26,MA,657,125
26,MA,640,128
26,MA,640,124
26,MA,640,117
26,MA,644,117
26,MA,649,116
27,MI,529,134
27,MI,526,128
27,MI,525,120
27,MI,523,119
27,MI,521,117
27,MI,520,119
27,MI,517,119
27,MI,515,123
27,MI,514,127
27,MI,514,127
27,MI,512,127
27,MI,512,127
27,MI,509,125
27,MI,509,124
27,MI,509,124
27,MI,509,120
27,MI,509,120
27,MI,514,120
27,MI,514,117
27,MI,514,116
27,MI,515,114
27,MI,515,107
27,MI,514,105
27,MI,514,103
27,MI,513,102
27,MI,514,101
27,MI,515,101
27,MI,515,101
27,MI,514,100
27,MI,512,98
27,MI,509,98
27,MI,506,96
27,MI,503,94
27,MI,499,94
27,MI,499,94
27,MI,498,94
27,MI,496,92
27,MI,495,94
27,MI,492,95
27,MI,492,98
27,MI,494,98
27,MI,495,98
27,MI,495,99
27,MI,494,100
27,MI,491,100
27,MI,491,101
27,MI,490,102
27,MI,491,103
27,MI,491,108
27,MI,487,109
27,MI,487,109
27,MI,487,107
27,MI,488,105
27,MI,488,102
27,MI,488,101
27,MI,487,102
27,MI,486,105
27,MI,483,108
27,MI,482,108
27,MI,482,109
27,MI,483,109
27,MI,482,111
27,MI,481,111
27,MI,481,112
27,MI,481,116
27,MI,481,119
27,MI,480,123
27,MI,480,127
27,MI,480,127
27,MI,480,128
27,MI,480,129
27,MI,480,132
27,MI,481,135
27,MI,483,141
27,MI,484,144
27,MI,484,149
27,MI,483,153
27,MI,481,157
27,MI,481,158
27,MI,480,161
27,MI,482,161
27,MI,498,158
27,MI,504,158
27,MI,504,160
27,MI,509,158
27,MI,517,157
27,MI,520,157
27,MI,520,157
27,MI,520,155
27,MI,521,153
27,MI,523,151
27,MI,523,146
27,MI,525,146
27,MI,525,145
27,MI,525,143
27,MI,526,142
27,MI,528,142
27,MI,528,142
27,MI,529,142
27,MI,530,142
27,MI,529,134
28,MI,430,85
28,MI,431,84
28,MI,433,83
28,MI,436,81
28,MI,436,81
28,MI,437,79
28,MI,441,78
28,MI,443,78
28,MI,447,76
28,MI,447,75
28,MI,448,74
28,MI,449,73
28,MI,450,70
28,MI,452,69
28,MI,454,67
28,MI,458,67
28,MI,459,68
28,MI,459,69
28,MI,457,69
28,MI,455,73
28,MI,453,73
28,MI,453,75
28,MI,450,77
28,MI,450,78
28,MI,452,78
28,MI,453,78
28,MI,455,76
28,MI,457,77
28,MI,458,77
28,MI,461,77
28,MI,462,78
28,MI,462,81
28,MI,464,83
28,MI,469,83
28,MI,469,83
28,MI,470,83
28,MI,472,84
28,MI,472,83
28,MI,473,83
28,MI,474,83
28,MI,477,79
28,MI,480,78
28,MI,484,78
28,MI,488,77
28,MI,491,76
28,MI,491,76
28,MI,491,81
28,MI,492,81
28,MI,495,81
28,MI,496,81
28,MI,499,79
28,MI,501,78
28,MI,503,78
28,MI,503,85
28,MI,504,86
28,MI,506,87
28,MI,506,89
28,MI,506,89
28,MI,505,89
28,MI,503,87
28,MI,499,89
28,MI,498,89
28,MI,496,89
28,MI,495,89
28,MI,491,89
28,MI,487,89
28,MI,484,90
28,MI,480,90
28,MI,479,91
28,MI,477,94
28,MI,475,94
28,MI,475,94
28,MI,474,94
28,MI,472,95
28,MI,471,95
28,MI,470,94
28,MI,470,94
28,MI,469,98
28,MI,466,100
28,MI,464,105
28,MI,464,105
28,MI,462,103
28,MI,462,96
28,MI,458,95
28,MI,457,94
28,MI,448,91
28,MI,446,90
28,MI,439,89
28,MI,433,89
28,MI,430,85
29,MN,361,98
29,MN,360,91
29,MN,358,86
29,MN,358,75
29,MN,356,67
29,MN,355,66
29,MN,354,62
29,MN,354,53
29,MN,354,51
29,MN,354,47
29,MN,377,47
29,MN,377,41
29,MN,377,41
29,MN,378,41
29,MN,381,41
29,MN,381,45
29,MN,382,51
29,MN,383,51
29,MN,387,51
29,MN,387,52
29,MN,393,52
29,MN,393,54
29,MN,396,54
29,MN,396,53
29,MN,397,52
29,MN,398,52
29,MN,399,52
29,MN,402,52
29,MN,405,54
29,MN,408,56
29,MN,411,57
29,MN,411,56
29,MN,413,56
29,MN,413,58
29,MN,415,58
29,MN,415,58
29,MN,415,58
29,MN,415,59
29,MN,418,61
29,MN,420,61
29,MN,421,59
29,MN,424,58
29,MN,427,58
29,MN,427,58
29,MN,427,59
29,MN,428,59
29,MN,428,59
29,MN,436,59
29,MN,436,62
29,MN,437,62
29,MN,438,59
29,MN,440,59
29,MN,440,62
29,MN,438,64
29,MN,430,66
29,MN,427,67
29,MN,424,69
29,MN,422,73
29,MN,420,75
29,MN,419,76
29,MN,416,79
29,MN,415,79
29,MN,411,83
29,MN,410,85
29,MN,408,86
29,MN,408,94
29,MN,408,94
29,MN,405,98
29,MN,404,101
29,MN,405,103
29,MN,405,105
29,MN,404,109
29,MN,405,111
29,MN,405,117
29,MN,407,119
29,MN,408,119
29,MN,411,120
29,MN,414,121
29,MN,416,125
29,MN,422,129
29,MN,424,130
29,MN,424,135
29,MN,362,136
29,MN,362,109
29,MN,362,108
29,MN,358,105
29,MN,358,103
29,MN,358,101
29,MN,360,101
29,MN,361,100
29,MN,361,98
30,MS,480,348
30,MS,480,349
30,MS,475,349
30,MS,473,348
30,MS,472,348
30,MS,466,351
30,MS,465,349
30,MS,464,352
30,MS,463,353
30,MS,462,352
30,MS,462,348
30,MS,458,347
30,MS,459,342
30,MS,459,340
30,MS,458,340
30,MS,452,342
30,MS,432,343
30,MS,432,340
30,MS,432,334
30,MS,436,329
30,MS,439,322
30,MS,439,321
30,MS,440,320
30,MS,440,319
30,MS,439,318
30,MS,439,317
30,MS,438,312
30,MS,438,309
30,MS,438,306
30,MS,438,304
30,MS,437,301
30,MS,438,300
30,MS,437,298
30,MS,437,297
30,MS,438,293
30,MS,439,292
30,MS,439,288
30,MS,441,285
30,MS,444,284
30,MS,444,282
30,MS,444,281
30,MS,447,277
30,MS,448,276
30,MS,448,276
30,MS,475,272
30,MS,477,277
30,MS,477,289
30,MS,475,314
30,MS,475,323
30,MS,479,338
30,MS,480,348
31,MO,424,188
31,MO,421,186
31,MO,420,184
31,MO,372,186
31,MO,371,186
31,MO,371,187
31,MO,371,190
31,MO,373,193
31,MO,374,196
31,MO,377,197
31,MO,380,199
31,MO,381,199
31,MO,381,200
31,MO,378,202
31,MO,378,204
31,MO,381,206
31,MO,382,209
31,MO,385,210
31,MO,385,219
31,MO,385,245
31,MO,386,250
31,MO,386,253
31,MO,404,253
31,MO,420,253
31,MO,437,252
31,MO,446,252
31,MO,447,254
31,MO,447,256
31,MO,444,260
31,MO,443,261
31,MO,447,261
31,MO,450,260
31,MO,452,255
31,MO,453,252
31,MO,454,250
31,MO,455,248
31,MO,455,245
31,MO,457,244
31,MO,455,243
31,MO,454,244
31,MO,453,242
31,MO,452,238
31,MO,453,237
31,MO,450,234
31,MO,449,230
31,MO,446,229
31,MO,440,226
31,MO,439,222
31,MO,440,219
31,MO,441,216
31,MO,441,212
31,MO,440,211
31,MO,436,211
31,MO,433,210
31,MO,433,208
31,MO,430,204
31,MO,425,199
31,MO,422,193
31,MO,422,190
31,MO,424,188
32,MT,279,43
32,MT,256,41
32,MT,234,39
32,MT,212,35
32,MT,187,32
32,MT,174,28
32,MT,150,23
32,MT,145,40
32,MT,149,44
32,MT,146,48
32,MT,149,52
32,MT,151,53
32,MT,154,62
32,MT,157,64
32,MT,157,65
32,MT,160,66
32,MT,160,67
32,MT,154,81
32,MT,154,83
32,MT,157,85
32,MT,157,85
32,MT,161,83
32,MT,161,81
32,MT,162,83
32,MT,162,86
32,MT,165,96
32,MT,166,98
32,MT,167,98
32,MT,168,100
32,MT,168,102
32,MT,168,105
32,MT,169,105
32,MT,172,103
32,MT,174,103
32,MT,176,105
32,MT,177,103
32,MT,180,103
32,MT,184,105
32,MT,186,105
32,MT,186,103
32,MT,188,102
32,MT,188,103
32,MT,190,107
32,MT,191,107
32,MT,193,98
32,MT,273,109
32,MT,279,43
33,NE,370,183
33,NE,371,187
33,NE,371,190
33,NE,373,194
33,NE,376,196
33,NE,372,196
33,NE,339,195
33,NE,309,195
33,NE,292,195
33,NE,292,177
33,NE,267,176
33,NE,271,142
33,NE,282,143
33,NE,297,143
33,NE,311,145
33,NE,329,145
33,NE,337,145
33,NE,339,146
33,NE,343,150
33,NE,343,150
33,NE,347,150
33,NE,351,150
33,NE,352,149
33,NE,353,150
33,NE,355,151
33,NE,358,152
33,NE,360,153
33,NE,360,154
33,NE,361,154
33,NE,362,154
33,NE,362,158
33,NE,364,165
33,NE,365,168
33,NE,367,169
33,NE,367,174
33,NE,369,177
33,NE,370,183
34,NV,150,141
34,NV,130,238
34,NV,129,238
34,NV,128,241
34,NV,127,241
34,NV,125,238
34,NV,123,238
34,NV,123,237
34,NV,123,237
34,NV,120,238
34,NV,119,244
34,NV,119,248
34,NV,119,254
34,NV,118,255
34,NV,117,255
34,NV,64,176
34,NV,78,124
34,NV,150,141
35,NH,668,108
35,NH,669,108
35,NH,669,105
35,NH,668,103
35,NH,667,101
35,NH,664,100
35,NH,664,99
35,NH,659,81
35,NH,656,69
35,NH,655,69
35,NH,655,70
35,NH,655,70
35,NH,652,69
35,NH,651,70
35,NH,651,75
35,NH,651,79
35,NH,655,81
35,NH,655,85
35,NH,650,89
35,NH,648,89
35,NH,648,90
35,NH,650,91
35,NH,650,98
35,NH,649,105
35,NH,649,109
35,NH,650,109
35,NH,649,112
35,NH,649,116
35,NH,650,116
35,NH,663,111
35,NH,664,111
35,NH,666,109
35,NH,668,108
36,NJ,629,143
36,NJ,627,145
36,NJ,627,146
36,NJ,626,150
36,NJ,626,151
36,NJ,627,152
36,NJ,627,153
36,NJ,625,154
36,NJ,625,157
36,NJ,626,157
36,NJ,627,158
36,NJ,629,160
36,NJ,631,162
36,NJ,633,162
36,NJ,633,163
36,NJ,631,166
36,NJ,630,167
36,NJ,629,169
36,NJ,627,169
36,NJ,627,172
36,NJ,626,172
36,NJ,626,174
36,NJ,627,176
36,NJ,629,178
36,NJ,633,179
36,NJ,636,179
36,NJ,636,180
36,NJ,635,183
36,NJ,636,185
36,NJ,636,185
36,NJ,638,183
36,NJ,639,178
36,NJ,640,176
36,NJ,642,171
36,NJ,644,166
36,NJ,644,166
36,NJ,642,158
36,NJ,642,155
36,NJ,641,157
36,NJ,639,157
36,NJ,639,157
36,NJ,640,155
36,NJ,641,154
36,NJ,641,153
36,NJ,640,151
36,NJ,641,150
36,NJ,641,146
36,NJ,639,145
36,NJ,635,145
36,NJ,633,144
36,NJ,629,143
37,NM,219,321
37,NM,218,318
37,NM,226,318
37,NM,248,320
37,NM,268,321
37,NM,270,307
37,NM,272,264
37,NM,275,251
37,NM,275,251
37,NM,276,242
37,NM,196,234
37,NM,184,326
37,NM,195,328
37,NM,196,320
37,NM,219,321
38,NY,630,143
38,NY,629,142
38,NY,627,142
38,NY,625,141
38,NY,624,135
38,NY,622,135
38,NY,620,134
38,NY,605,138
38,NY,572,144
38,NY,567,145
38,NY,567,140
38,NY,567,140
38,NY,568,138
38,NY,568,136
38,NY,571,135
38,NY,572,135
38,NY,572,134
38,NY,574,132
38,NY,574,130
38,NY,574,130
38,NY,573,128
38,NY,572,128
38,NY,571,123
38,NY,573,121
38,NY,575,120
38,NY,580,119
38,NY,582,119
38,NY,587,119
38,NY,587,120
38,NY,590,120
38,NY,591,119
38,NY,593,119
38,NY,597,118
38,NY,598,117
38,NY,600,114
38,NY,601,112
38,NY,602,112
38,NY,604,111
38,NY,605,110
38,NY,602,109
38,NY,602,108
38,NY,604,105
38,NY,604,105
38,NY,602,105
38,NY,601,103
38,NY,601,103
38,NY,600,101
38,NY,605,98
38,NY,605,96
38,NY,606,94
38,NY,608,90
38,NY,609,89
38,NY,613,86
38,NY,614,85
38,NY,616,84
38,NY,620,83
38,NY,623,83
38,NY,626,83
38,NY,631,81
38,NY,633,85
38,NY,634,89
38,NY,635,92
38,NY,634,96
38,NY,636,100
38,NY,636,101
38,NY,636,103
38,NY,639,103
38,NY,639,103
38,NY,640,112
38,NY,640,117
38,NY,640,124
38,NY,640,129
38,NY,641,132
38,NY,642,136
38,NY,642,143
38,NY,641,145
38,NY,642,146
38,NY,644,146
38,NY,642,150
38,NY,642,151
38,NY,644,150
38,NY,644,150
38,NY,647,146
38,NY,648,146
38,NY,648,146
38,NY,650,146
38,NY,656,144
38,NY,658,142
38,NY,659,141
38,NY,663,142
38,NY,659,145
38,NY,657,146
38,NY,651,151
38,NY,650,152
38,NY,646,153
38,NY,642,154
38,NY,641,153
38,NY,640,151
38,NY,641,150
38,NY,641,146
38,NY,639,145
38,NY,635,145
38,NY,633,144
38,NY,630,143
39,NC,633,222
39,NC,635,227
39,NC,638,231
39,NC,640,234
39,NC,640,235
39,NC,639,235
39,NC,639,237
39,NC,639,239
39,NC,636,241
39,NC,636,242
39,NC,635,244
39,NC,633,245
39,NC,631,244
39,NC,629,244
39,NC,629,244
39,NC,629,244
39,NC,629,245
39,NC,630,245
39,NC,631,246
39,NC,629,252
39,NC,633,252
39,NC,633,253
39,NC,635,251
39,NC,635,251
39,NC,634,253
39,NC,631,256
39,NC,631,256
39,NC,630,256
39,NC,627,256
39,NC,624,260
39,NC,618,263
39,NC,616,267
39,NC,615,271
39,NC,614,273
39,NC,611,273
39,NC,606,275
39,NC,598,268
39,NC,590,263
39,NC,587,262
39,NC,579,263
39,NC,574,263
39,NC,573,261
39,NC,571,260
39,NC,559,260
39,NC,553,261
39,NC,547,264
39,NC,541,266
39,NC,525,268
39,NC,526,264
39,NC,526,263
39,NC,529,263
39,NC,530,261
39,NC,532,259
39,NC,537,256
39,NC,539,254
39,NC,542,253
39,NC,542,251
39,NC,546,248
39,NC,547,248
39,NC,547,248
39,NC,547,248
39,NC,547,248
39,NC,548,248
39,NC,548,248
39,NC,548,248
39,NC,550,245
39,NC,551,245
39,NC,553,245
39,NC,556,243
39,NC,557,241
39,NC,557,239
39,NC,557,237
39,NC,560,237
39,NC,567,237
39,NC,579,234
39,NC,590,233
39,NC,606,229
39,NC,622,226
39,NC,629,224
39,NC,633,222
40,ND,361,98
40,ND,360,91
40,ND,360,86
40,ND,358,76
40,ND,356,67
40,ND,355,66
40,ND,354,62
40,ND,354,53
40,ND,354,51
40,ND,353,47
40,ND,331,47
40,ND,318,45
40,ND,297,44
40,ND,279,43
40,ND,275,94
40,ND,317,96
40,ND,361,98
41,OH,558,146
41,OH,553,150
41,OH,550,151
41,OH,548,154
41,OH,545,157
41,OH,541,158
41,OH,540,158
41,OH,537,161
41,OH,534,161
41,OH,531,158
41,OH,528,158
41,OH,526,157
41,OH,524,157
41,OH,520,157
41,OH,513,158
41,OH,504,160
41,OH,505,171
41,OH,506,180
41,OH,508,199
41,OH,508,202
41,OH,512,202
41,OH,514,202
41,OH,516,202
41,OH,517,206
41,OH,521,206
41,OH,523,208
41,OH,525,208
41,OH,526,206
41,OH,529,208
41,OH,532,208
41,OH,534,206
41,OH,535,205
41,OH,537,204
41,OH,538,206
41,OH,539,208
41,OH,541,209
41,OH,545,209
41,OH,545,209
41,OH,545,206
41,OH,546,205
41,OH,546,202
41,OH,546,202
41,OH,547,199
41,OH,547,199
41,OH,548,199
41,OH,548,199
41,OH,549,200
41,OH,550,200
41,OH,550,199
41,OH,549,196
41,OH,549,195
41,OH,550,195
41,OH,551,193
41,OH,553,191
41,OH,554,191
41,OH,556,190
41,OH,558,187
41,OH,560,184
41,OH,560,179
41,OH,560,176
41,OH,560,172
41,OH,560,169
41,OH,560,169
41,OH,562,168
41,OH,560,161
41,OH,558,146
42,OK,288,243
42,OK,276,242
42,OK,275,251
42,OK,292,252
42,OK,315,252
42,OK,312,271
42,OK,312,285
42,OK,312,286
42,OK,317,288
42,OK,318,289
42,OK,318,289
42,OK,319,287
42,OK,320,289
42,OK,321,289
42,OK,321,287
42,OK,323,289
42,OK,323,293
42,OK,327,293
42,OK,328,294
42,OK,331,294
42,OK,332,295
42,OK,336,294
42,OK,338,294
42,OK,339,296
42,OK,340,296
42,OK,340,298
42,OK,342,298
42,OK,344,297
42,OK,345,297
42,OK,347,297
42,OK,348,298
42,OK,352,301
42,OK,354,301
42,OK,354,297
42,OK,355,297
42,OK,356,298
42,OK,360,298
42,OK,363,301
42,OK,364,301
42,OK,365,301
42,OK,367,298
42,OK,370,298
42,OK,371,298
42,OK,373,297
42,OK,374,297
42,OK,374,298
42,OK,378,298
42,OK,380,297
42,OK,381,297
42,OK,382,300
42,OK,385,301
42,OK,387,301
42,OK,388,303
42,OK,388,275
42,OK,387,266
42,OK,387,260
42,OK,386,254
42,OK,386,250
42,OK,386,245
42,OK,377,245
42,OK,340,245
42,OK,306,244
42,OK,288,243
43,OR,112,133
43,OR,119,107
43,OR,120,103
43,OR,121,99
43,OR,121,98
43,OR,119,98
43,OR,119,96
43,OR,119,96
43,OR,119,94
43,OR,123,89
43,OR,124,89
43,OR,124,87
43,OR,127,85
43,OR,129,81
43,OR,132,77
