id,postal_code,top_category,raw_visitor_counts_mean,raw_visitor_counts_sum,raw_visitor_counts_median,placekey,est_year,zip_pop,raw_visitor_counts_mean_norm,raw_visitor_counts_sum_norm,raw_visitor_counts_median_norm,date,zipcode_ID
76,92109,Restaurants and Other Eating Places,148.61132075471696,39382,85.0,291,2019,54272,0.0027382687344250623,0.7256412146226415,0.001566185141509434,2021-05-01,9
77,92109,Restaurants and Other Eating Places,194.3181818181818,51300,94.0,291,2019,54272,0.0035804499892795882,0.9452387971698112,0.0017320165094339625,2021-06-01,9
78,92109,Restaurants and Other Eating Places,248.31598513011159,66797,111.0,291,2019,54272,0.0045753977212948035,1.2307819870283019,0.0020452535377358493,2021-07-01,9
79,92109,Restaurants and Other Eating Places,158.14074074074077,42698,76.0,291,2019,54272,0.0029138550401816912,0.7867408608490566,0.0014003537735849056,2021-08-01,9
80,92109,Restaurants and Other Eating Places,112.43283582089552,30132,63.0,291,2019,54272,0.002071654551534779,0.5552034198113207,0.001160819575471698,2021-09-01,9
81,92110,Restaurants and Other Eating Places,83.53225806451613,15537,50.0,200,2019,29904,0.00279334731355391,0.5195626003210273,0.0016720171214553235,2021-01-01,10
82,92110,Restaurants and Other Eating Places,98.40641711229948,18402,62.0,200,2019,29904,0.003290744285456777,0.6153691813804173,0.002073301230604601,2021-02-01,10
83,92110,Restaurants and Other Eating Places,142.11475409836066,26007,89.0,200,2019,29904,0.004752366041277443,0.8696829855537721,0.002976190476190476,2021-03-01,10
84,92110,Restaurants and Other Eating Places,146.2139037433155,27342,85.0,200,2019,29904,0.0048894430090728825,0.9143258426966292,0.00284242910647405,2021-04-01,10
85,92110,Restaurants and Other Eating Places,170.44086021505376,31702,95.5,200,2019,29904,0.005699600729502868,1.0601257356875335,0.003193552701979668,2021-05-01,10
86,92110,Restaurants and Other Eating Places,181.12234042553192,34051,99.0,200,2019,29904,0.006056793085390982,1.1386771000535043,0.003310593900481541,2021-06-01,10
87,92110,Restaurants and Other Eating Places,210.17989417989415,39724,112.0,200,2019,29904,0.007028487633089024,1.3283841626538255,0.003745318352059925,2021-07-01,10
88,92110,Restaurants and Other Eating Places,180.29255319148936,33895,100.0,200,2019,29904,0.006029044716141297,1.133460406634564,0.0033440342429106483,2021-08-01,10
89,92110,Restaurants and Other Eating Places,154.4414893617021,29035,93.0,200,2019,29904,0.005164576289516524,0.9709403424291064,0.003109951845906902,2021-09-01,10
90,92111,Restaurants and Other Eating Places,94.41666666666669,26059,50.0,294,2019,48448,0.001948824856891237,0.5378756605019815,0.0010320343461030382,2021-01-01,11
91,92111,Restaurants and Other Eating Places,102.20289855072464,28208,62.5,294,2019,48448,0.002109538031512645,0.5822324966974901,0.0012900429326287981,2021-02-01,11
92,92111,Restaurants and Other Eating Places,122.9,34412,79.0,294,2019,48448,0.002536740422721268,0.7102873183619551,0.0016306142668428005,2021-03-01,11
93,92111,Restaurants and Other Eating Places,131.51254480286738,36692,89.0,294,2019,48448,0.0027145092635994755,0.7573480845442536,0.0018370211360634078,2021-04-01,11
94,92111,Restaurants and Other Eating Places,147.336917562724,41107,103.0,294,2019,48448,0.003041135187473663,0.848476717305152,0.002125990752972259,2021-05-01,11
95,92111,Restaurants and Other Eating Places,146.2064056939502,41084,98.0,294,2019,48448,0.0030178006459286285,0.8480019815059445,0.002022787318361955,2021-06-01,11
96,92111,Restaurants and Other Eating Places,157.16901408450704,44636,109.0,294,2019,48448,0.0032440764135672692,0.9213177014531044,0.0022498348745046237,2021-07-01,11
97,92111,Restaurants and Other Eating Places,151.6258741258741,43365,102.0,294,2019,48448,0.003129662197115962,0.8950833883751651,0.002105350066050198,2021-08-01,11
98,92111,Restaurants and Other Eating Places,143.6443661971831,40795,97.0,294,2019,48448,0.002964918390793905,0.8420368229854691,0.0020021466314398945,2021-09-01,11
99,92113,Restaurants and Other Eating Places,75.13675213675214,8791,47.0,124,2019,48730,0.0015418992845629414,0.18040221629386416,0.0009644982556946439,2021-01-01,12
100,92113,Restaurants and Other Eating Places,74.96581196581197,8771,48.0,124,2019,48730,0.0015383913803778365,0.17999179150420686,0.0009850194951775088,2021-02-01,12
101,92113,Restaurants and Other Eating Places,87.94017094017093,10289,53.0,124,2019,48730,0.001804641308027313,0.2111430330391956,0.0010876256925918325,2021-03-01,12
102,92113,Restaurants and Other Eating Places,88.28448275862068,10241,55.0,124,2019,48730,0.0018117070133105003,0.21015801354401809,0.001128668171557562,2021-04-01,12
